law,section_number,section_title,section_text,punishment
IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail
IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,nan
IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail
DPDP Act 2023,9,Data principal rights,"Right to access, correction, erase data.",nan
IT Act 2000,67A,Sexually explicit content,Publishing sexually explicit content online.,5 years jail + fine
IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail
IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine
IT Rules 2021,Rule 7,Non-observance penalties,Intermediaries lose safe-harbor protections.,nan
IPC,471,Using forged digital documents,Using forged digital IDs.,7 years jail
IT Act 2000,66E,Violation of privacy,Capturing or transmitting private images.,3 years jail + fine
IPC,499,Defamation,Online defamatory posts.,2 years jail
DPDP Act 2023,4,Consent for data processing,Data must be processed only with free consent.,Penalties up to ₹250 crore
DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties
IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation
IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh
CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,nan
IT Act 2000,66F,Cyber terrorism,Threatening national security using computer resources.,Life imprisonment
CERT-IN,Report-1,72-hour breach reporting,All cyber incidents must be reported.,nan
IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine
IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine
IPC,469,Forgery for harming reputation,Creating fake online profiles.,3 years jail
IT Act 2000,67,Obscene material online,Publishing or transmitting obscene content.,3 years jail + fine ₹5 lakh
IPC,468,Forgery for cheating,Digital forgery for cheating.,7 years jail
IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,nan
IPC,420,Cheating,Online payment or UPI fraud.,7 years jail
