scenario,intent_label,label
UPI payment fraud happened through PhonePe,CYBER_FRAUD,0
I received a phishing link pretending to be Snapchat,GENERAL_CYBER_QUERY,5
A scammer impersonated a Facebook officer and took my details,CYBER_FRAUD,0
A fake profile was created using my photos on Instagram,CYBER_IDENTITY_THEFT,3
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION,4
A fake profile was created using my photos on Paytm,CYBER_FRAUD,0
Ransomware encrypted all files on my PhonePe,GENERAL_CYBER_QUERY,5
Ransomware encrypted all files on my Instagram,GENERAL_CYBER_QUERY,5
Someone hacked my Snapchat account and changed my password,CYBER_HACKING,1
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION,4
Someone hacked my LinkedIn account and changed my password,CYBER_HACKING,1
A scammer impersonated a Telegram officer and took my details,CYBER_FRAUD,0
Someone hacked my WhatsApp account and changed my password,CYBER_HACKING,1
Someone hacked my Snapchat account and changed my password,CYBER_HACKING,1
Ransomware encrypted all files on my Facebook,GENERAL_CYBER_QUERY,5
My private pictures were leaked on PhonePe,CYBER_PRIVACY_VIOLATION,4
Someone posted obscene content using my PhonePe account,GENERAL_CYBER_QUERY,5
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION,4
My private pictures were leaked on Paytm,CYBER_FRAUD,0
My private pictures were leaked on WhatsApp,CYBER_PRIVACY_VIOLATION,4
Someone posted obscene content using my Twitter account,GENERAL_CYBER_QUERY,5
UPI payment fraud happened through Twitter,CYBER_FRAUD,0
I received a phishing link pretending to be WhatsApp,GENERAL_CYBER_QUERY,5
UPI payment fraud happened through WhatsApp,CYBER_FRAUD,0
A fake profile was created using my photos on Paytm,CYBER_FRAUD,0
My private pictures were leaked on Google Pay,CYBER_FRAUD,0
Ransomware encrypted all files on my Snapchat,GENERAL_CYBER_QUERY,5
A fake profile was created using my photos on WhatsApp,CYBER_IDENTITY_THEFT,3
My private pictures were leaked on Facebook,CYBER_PRIVACY_VIOLATION,4
I received a phishing link pretending to be Paytm,CYBER_FRAUD,0
UPI payment fraud happened through WhatsApp,CYBER_FRAUD,0
Someone is stalking me online using Instagram,CYBER_HARASSMENT,2
My private pictures were leaked on WhatsApp,CYBER_PRIVACY_VIOLATION,4
Someone is stalking me online using YouTube,CYBER_HARASSMENT,2
