scenario,intent_label
UPI payment fraud happened through PhonePe,CYBER_FRAUD
I received a phishing link pretending to be Snapchat,GENERAL_CYBER_QUERY
A scammer impersonated a Facebook officer and took my details,CYBER_FRAUD
A fake profile was created using my photos on Instagram,CYBER_IDENTITY_THEFT
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION
A fake profile was created using my photos on Paytm,CYBER_FRAUD
Ransomware encrypted all files on my PhonePe,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my Instagram,GENERAL_CYBER_QUERY
Someone hacked my Snapchat account and changed my password,CYBER_HACKING
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION
Someone hacked my LinkedIn account and changed my password,CYBER_HACKING
A scammer impersonated a Telegram officer and took my details,CYBER_FRAUD
Someone hacked my WhatsApp account and changed my password,CYBER_HACKING
Someone hacked my Snapchat account and changed my password,CYBER_HACKING
Ransomware encrypted all files on my Facebook,GENERAL_CYBER_QUERY
My private pictures were leaked on PhonePe,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my PhonePe account,GENERAL_CYBER_QUERY
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION
My private pictures were leaked on Paytm,CYBER_FRAUD
My private pictures were leaked on WhatsApp,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my Twitter account,GENERAL_CYBER_QUERY
UPI payment fraud happened through Twitter,CYBER_FRAUD
I received a phishing link pretending to be WhatsApp,GENERAL_CYBER_QUERY
UPI payment fraud happened through WhatsApp,CYBER_FRAUD
A fake profile was created using my photos on Paytm,CYBER_FRAUD
My private pictures were leaked on Google Pay,CYBER_FRAUD
Ransomware encrypted all files on my Snapchat,GENERAL_CYBER_QUERY
A fake profile was created using my photos on WhatsApp,CYBER_IDENTITY_THEFT
My private pictures were leaked on Facebook,CYBER_PRIVACY_VIOLATION
I received a phishing link pretending to be Paytm,CYBER_FRAUD
UPI payment fraud happened through WhatsApp,CYBER_FRAUD
Someone is stalking me online using Instagram,CYBER_HARASSMENT
My private pictures were leaked on WhatsApp,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using YouTube,CYBER_HARASSMENT
Someone hacked my LinkedIn account and changed my password,CYBER_HACKING
UPI payment fraud happened through WhatsApp,CYBER_FRAUD
I received a phishing link pretending to be Twitter,GENERAL_CYBER_QUERY
Someone is stalking me online using PhonePe,CYBER_HARASSMENT
A scammer impersonated a PhonePe officer and took my details,CYBER_FRAUD
I received a phishing link pretending to be Instagram,GENERAL_CYBER_QUERY
A fake profile was created using my photos on Twitter,CYBER_IDENTITY_THEFT
A scammer impersonated a Paytm officer and took my details,CYBER_FRAUD
A fake profile was created using my photos on PhonePe,CYBER_IDENTITY_THEFT
Someone hacked my Facebook account and changed my password,CYBER_HACKING
UPI payment fraud happened through LinkedIn,CYBER_FRAUD
Someone is stalking me online using Google Pay,CYBER_FRAUD
A fake profile was created using my photos on Twitter,CYBER_IDENTITY_THEFT
Someone is stalking me online using Snapchat,CYBER_HARASSMENT
Ransomware encrypted all files on my Instagram,GENERAL_CYBER_QUERY
UPI payment fraud happened through WhatsApp,CYBER_FRAUD
My private pictures were leaked on PhonePe,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using Snapchat,CYBER_HARASSMENT
UPI payment fraud happened through YouTube,CYBER_FRAUD
I received a phishing link pretending to be Telegram,GENERAL_CYBER_QUERY
Someone posted obscene content using my Telegram account,GENERAL_CYBER_QUERY
Someone posted obscene content using my Facebook account,GENERAL_CYBER_QUERY
UPI payment fraud happened through Snapchat,CYBER_FRAUD
Someone is stalking me online using LinkedIn,CYBER_HARASSMENT
My private pictures were leaked on Facebook,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my PhonePe account,GENERAL_CYBER_QUERY
My private pictures were leaked on Snapchat,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using LinkedIn,CYBER_HARASSMENT
I received a phishing link pretending to be Snapchat,GENERAL_CYBER_QUERY
My private pictures were leaked on WhatsApp,CYBER_PRIVACY_VIOLATION
Ransomware encrypted all files on my Telegram,GENERAL_CYBER_QUERY
UPI payment fraud happened through Google Pay,CYBER_FRAUD
I received a phishing link pretending to be YouTube,GENERAL_CYBER_QUERY
I received a phishing link pretending to be PhonePe,GENERAL_CYBER_QUERY
UPI payment fraud happened through Snapchat,CYBER_FRAUD
A fake profile was created using my photos on Snapchat,CYBER_IDENTITY_THEFT
A fake profile was created using my photos on Instagram,CYBER_IDENTITY_THEFT
A scammer impersonated a Paytm officer and took my details,CYBER_FRAUD
Ransomware encrypted all files on my YouTube,GENERAL_CYBER_QUERY
UPI payment fraud happened through Instagram,CYBER_FRAUD
Someone is stalking me online using Twitter,CYBER_HARASSMENT
A fake profile was created using my photos on Google Pay,CYBER_FRAUD
Someone hacked my Twitter account and changed my password,CYBER_HACKING
A fake profile was created using my photos on Google Pay,CYBER_FRAUD
I received a phishing link pretending to be Twitter,GENERAL_CYBER_QUERY
I received a phishing link pretending to be LinkedIn,GENERAL_CYBER_QUERY
A fake profile was created using my photos on Telegram,CYBER_IDENTITY_THEFT
Someone is stalking me online using LinkedIn,CYBER_HARASSMENT
UPI payment fraud happened through WhatsApp,CYBER_FRAUD
Someone hacked my Facebook account and changed my password,CYBER_HACKING
Someone hacked my Paytm account and changed my password,CYBER_HACKING
Ransomware encrypted all files on my LinkedIn,GENERAL_CYBER_QUERY
UPI payment fraud happened through YouTube,CYBER_FRAUD
My private pictures were leaked on LinkedIn,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my Telegram account,GENERAL_CYBER_QUERY
A loan app leaked my contact list and threatened me,CYBER_PRIVACY_VIOLATION
UPI payment fraud happened through Google Pay,CYBER_FRAUD
Someone posted obscene content using my Telegram account,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my Instagram,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my Google Pay,CYBER_FRAUD
